OID_,OBJECTID,UTMX,UTMY,LongitudeI,LatitudeI
18783,18784,658768.926,4768914.416,-79.050356,43.05632
13599,13600,658760.4757,4768920.421,-79.050458,43.056376
1893,1894,658793.9945,4768920.641,-79.050046,43.056371
8817,8818,658391.5652,4768927.906,-79.054983,43.05652
25773,25774,659016.9151,4768929.959,-79.047308,43.056408
8431,8432,658760.0908,4768931.292,-79.050459,43.056474
5617,5618,658492.8715,4768934.691,-79.053738,43.05656
22402,22403,659006.6492,4768939.842,-79.047431,43.056499
1677,1678,658793.2997,4768942.249,-79.050049,43.056565
16767,16768,658508.0578,4768951.906,-79.053547,43.056712
11745,11746,658787.3217,4768954.491,-79.050119,43.056677
25459,25460,658683.242,4768954.692,-79.051396,43.0567
11153,11154,658806.9607,4768956.487,-79.049877,43.056691
2311,2312,658516.3176,4768960.944,-79.053443,43.056791
15543,15544,658796.2002,4768963.824,-79.050007,43.056759
7309,7310,658684.1855,4768978.477,-79.051378,43.056914
19663,19664,658820.6541,4768978.567,-79.049703,43.056886
22384,22385,658686.9081,4768980.272,-79.051344,43.05693
14579,14580,658795.6371,4768983.118,-79.050008,43.056933
2795,2796,658812.9097,4768985.157,-79.049796,43.056947
3382,3383,658780.8562,4768995.036,-79.050186,43.057043
24371,24372,658798.9671,4768995.964,-79.049964,43.057048
25243,25244,658793.6759,4769000.87,-79.050027,43.057093
13872,13873,658764.5499,4769010.641,-79.050382,43.057187
10839,10840,658722.6006,4769021.787,-79.050894,43.057296
1268,1269,658748.9259,4769022.947,-79.05057,43.057301
8080,8081,658758.5223,4769029.874,-79.050451,43.057361
20525,20526,658733.8718,4769034.273,-79.050752,43.057406
1916,1917,658735.7379,4769036.444,-79.050728,43.057425
8287,8288,658594.342,4769041.489,-79.052462,43.0575
3386,3387,658744.253,4769045.9,-79.050621,43.057508
23728,23729,658768.5805,4769050.909,-79.050321,43.057548
6525,6526,658507.8893,4769051.273,-79.05352,43.057606
7311,7312,658748.6933,4769051.466,-79.050565,43.057558
12483,12484,658751.6326,4769054.092,-79.050528,43.057581
4714,4715,658773.3776,4769056.347,-79.050261,43.057596
834,835,658600.6801,4769074.436,-79.052375,43.057795
24282,24283,658614.4542,4769090.537,-79.052201,43.057937
16197,16198,658560.726,4769131.349,-79.052849,43.058316
22549,22550,658576.3785,4769132.16,-79.052657,43.05832
9410,9411,658565.6732,4769135.81,-79.052787,43.058355
19269,19270,658659.0665,4769140.243,-79.05164,43.058375
10718,10719,658584.6508,4769141.811,-79.052553,43.058405
22823,22824,658573.9455,4769146.19,-79.052683,43.058447
4637,4638,658678.9473,4769162.065,-79.051389,43.058568
6731,6732,658606.548,4769165.736,-79.052277,43.058616
16370,16371,658629.3373,4769167.682,-79.051997,43.058628
2812,2813,658686.7028,4769169.448,-79.051292,43.058632
14958,14959,658627.3098,4769169.548,-79.052021,43.058646
15909,15910,658705.6275,4769191.337,-79.051054,43.058825
